timestamp,coffees,contributor
2011-10-03 08:22:00,397.0,Quentin
2011-10-04 11:48:00,410.0,Quentin
2011-10-05 07:02:00,testing,Anthony
2011-10-05 08:25:00,,Quentin
2011-10-05 10:47:00,464.0,Quentin
2011-10-05 13:15:00,481.0,Quentin
2011-10-06 07:21:00,503.0,Anthony
2011-10-06 10:04:00,513.0,Quentin
2011-10-06 12:14:00,539.0,Mike
2011-10-06 12:49:00,540.0,Quentin
2011-10-06 14:52:00,563.0,Ben
2011-10-07 07:34:00,581.0,Anthony
2011-10-07 08:37:00,587.0,Quentin
2011-10-07 11:09:00,605.0,Quentin
2011-10-07 13:14:00,616.0,Mike
2011-10-07 14:10:00,,Ben
2011-10-07 15:20:00,626.0,Mike M
2011-10-07 16:50:00,635.0,Mike M
2011-10-09 16:53:00,650.0,Colm
2011-10-10 07:29:00,656.0,Anthony
2011-10-10 10:13:00,673.0,Quentin
2011-10-10 13:41:00,694.0,Mike M
2011-10-10 14:02:00,699.0,Quentin
2011-10-10 15:23:00,713.0,Quentin
2011-10-11 14:09:00,770.0,Mike M
2011-10-12 08:11:00,790.0,Quentin
2011-10-12 09:57:00,799.0,Mike M
2011-10-12 10:06:00,805.0,Sergio
2011-10-12 12:01:00,818.0,Mike M
2011-10-12 12:30:00,819.0,Quentin
2011-10-12 13:56:00,837.0,Quentin
2011-10-13 09:10:00,866.0,Quentin
2011-10-13 10:52:00,880.0,Quentin
2011-10-13 11:04:00,889.0,Mike M
2011-10-13 14:41:00,916.0,Quentin
2011-10-13 15:06:00,920.0,Mike M
2011-10-13 15:45:00,923.0,Ben
2011-10-13 15:58:00,924.0,Quentin
2011-10-14 09:02:00,933.0,Quentin
2011-10-14 10:02:00,939.0,Mike M
2011-10-14 14:07:00,974.0,Ben
2011-10-17 09:24:00,1011.0,Mike
2011-10-17 11:19:00,1036.0,Mike M
2011-10-17 14:05:00,1050.0,Colm
2011-10-18 09:20:00,1065.0,Quentin
2011-10-18 09:39:00,1070.0,Mike M
